Ida,Regreso
02a,02d
02p,02k
13g,13s
17a,17w
17o,17x
18p,18y
20j,20l
20v,20a
20z,20w
21q,21b
22k,22d
22r,22c
22s,22n
22x,22e
22j,22o
23a,23q
23l,23p
23n,23t
31d,31f
32e,32g
32h,32y
40g,40n
40b,40p
42f,42w
42u,42h
43j,43t
44e,44u
50s,50u
52d,52a
56v,56o
57y,57p
60x,60k
60y,60l
60z,60m
62h,62m
62o,62n
63f,63h
63i,63g
63k,63p
65d,65q
65e,65r
70i,70f
70j,70g
70k,70h
71z,71i
72k,72z
72w,72j
80k,80h
80l,80z
80j,80q
81s,81c
90e,90j
90y,90x
B02,B02
Linea 1,Linea 1
Linea 2,Linea 2
30m,30b
30n,30c
30q,30e
30r,30d
24m,24f
24t,24r
11e,11q
11f,11r
41c,41r
41q,41v
12q,12a
12r,12b
14h,14t
14z,14u
10a,10n
10b,10o
10c,10p
10d,10m
10j,10l
10k,10t
16i,16v
16h,16k
